feature,median,q1,q3,outliers,lower_bound,upper_bound
 Destination Port,80.0,80.0,80.0,205357,80.0,80.0
 Flow Duration,95367.0,206.0,85554295.25,0,-256662061.75,342216563.0
 Total Fwd Packets,3.0,2.0,7.0,9997,-13.0,22.0
 Total Backward Packets,2.0,1.0,6.0,9802,-14.0,21.0
Total Length of Fwd Packets,96.0,12.0,366.0,20504,-1050.0,1428.0
 Total Length of Bwd Packets,250.0,0.0,11595.0,3954,-34785.0,46380.0
 Fwd Packet Length Max,51.0,6.0,349.0,7738,-1023.0,1378.0
 Fwd Packet Length Min,0.0,0.0,6.0,105412,-18.0,24.0
 Fwd Packet Length Mean,42.0,6.0,58.33333333,9544,-150.99999999,215.33333332
 Fwd Packet Length Std,3.286335345,0.0,135.5384324,6230,-406.6152972,542.1537296
Bwd Packet Length Max,142.0,0.0,4344.0,0,-13032.0,17376.0
 Bwd Packet Length Min,0.0,0.0,6.0,107354,-18.0,24.0
 Bwd Packet Length Mean,127.0,0.0,1656.428571,0,-4969.285712999999,6625.714284
 Bwd Packet Length Std,0.0,0.0,1894.680443,0,-5684.041329,7578.721772
Flow Bytes/s,140.7590197,102.41269700000001,7900.8893907500005,90776,-23293.01738425,31296.319472000003
 Flow Packets/s,43.877771155,0.156616766,17167.38197,64948,-51501.519442936005,68669.058029702
 Flow IAT Mean,31206.0,83.0,6924128.0205,1285,-20772052.061499998,27696263.082
 Flow IAT Std,26549.87085,0.0,24200000.0,0,-72600000.0,96800000.0
 Flow IAT Max,78594.5,179.0,84800000.0,0,-254399284.0,339199463.0
 Flow IAT Min,3.0,1.0,39.0,62471,-113.0,153.0
Fwd IAT Total,12006.0,3.0,85400000.0,0,-256199988.0,341599991.0
 Fwd IAT Mean,6014.0,3.0,12400000.0,2383,-37199988.0,49599991.0
 Fwd IAT Std,707.6103001,0.0,33800000.0,0,-101400000.0,135200000.0
 Fwd IAT Max,11975.0,3.0,84800000.0,0,-254399988.0,339199991.0
 Fwd IAT Min,3.0,1.0,48.0,81290,-140.0,189.0
Bwd IAT Total,48.0,0.0,162419.5,88760,-487258.5,649678.0
 Bwd IAT Mean,48.0,0.0,36896.75,87022,-110690.25,147587.0
 Bwd IAT Std,0.0,0.0,62714.2475125,80662,-188142.7425375,250856.99005
 Bwd IAT Max,48.0,0.0,141174.0,87615,-423522.0,564696.0
 Bwd IAT Min,3.0,0.0,48.0,27830,-144.0,192.0
Fwd PSH Flags,0.0,0.0,0.0,13965,0.0,0.0
 Bwd PSH Flags,0.0,0.0,0.0,0,0.0,0.0
 Fwd URG Flags,0.0,0.0,0.0,0,0.0,0.0
 Bwd URG Flags,0.0,0.0,0.0,0,0.0,0.0
 Fwd Header Length,80.0,60.0,204.0,10182,-372.0,636.0
 Bwd Header Length,64.0,20.0,200.0,7362,-520.0,740.0
Fwd Packets/s,20.496318345,0.0901048025,9478.672986,67954,-28435.658538789994,37914.42162959249
 Bwd Packets/s,0.082253154,0.050825477,34.6348833925,72462,-103.7013482695,138.387057139
 Min Packet Length,0.0,0.0,6.0,105178,-18.0,24.0
 Max Packet Length,158.0,6.0,4344.0,8,-13008.0,17358.0
 Packet Length Mean,81.4,6.0,797.7333333,0,-2369.1999999,3172.9333332
 Packet Length Std,58.33180928,0.0,1524.88353,0,-4574.65059,6099.53412
 Packet Length Variance,3402.6,0.0,2325269.781,2972,-6975809.343,9301079.124
FIN Flag Count,0.0,0.0,0.0,63388,0.0,0.0
 SYN Flag Count,0.0,0.0,0.0,13965,0.0,0.0
 RST Flag Count,0.0,0.0,0.0,127,0.0,0.0
 PSH Flag Count,0.0,0.0,0.0,69341,0.0,0.0
 ACK Flag Count,0.0,0.0,1.0,0,-3.0,4.0
 URG Flag Count,0.0,0.0,0.0,23699,0.0,0.0
 CWE Flag Count,0.0,0.0,0.0,0,0.0,0.0
 ECE Flag Count,0.0,0.0,0.0,127,0.0,0.0
 Down/Up Ratio,0.0,0.0,1.0,115,-3.0,4.0
 Average Packet Size,108.5,9.0,854.6428571,0,-2527.9285713,3391.5714284
 Avg Fwd Segment Size,42.0,6.0,58.33333333,9544,-150.99999999,215.33333332
 Avg Bwd Segment Size,127.0,0.0,1656.428571,0,-4969.285712999999,6625.714284
 Fwd Header Length.1,80.0,60.0,204.0,10182,-372.0,636.0
Fwd Avg Bytes/Bulk,0.0,0.0,0.0,0,0.0,0.0
 Fwd Avg Packets/Bulk,0.0,0.0,0.0,0,0.0,0.0
 Fwd Avg Bulk Rate,0.0,0.0,0.0,0,0.0,0.0
 Bwd Avg Bytes/Bulk,0.0,0.0,0.0,0,0.0,0.0
 Bwd Avg Packets/Bulk,0.0,0.0,0.0,0,0.0,0.0
Bwd Avg Bulk Rate,0.0,0.0,0.0,0,0.0,0.0
Subflow Fwd Packets,3.0,2.0,7.0,9997,-13.0,22.0
 Subflow Fwd Bytes,96.0,12.0,366.0,20504,-1050.0,1428.0
 Subflow Bwd Packets,2.0,1.0,6.0,9802,-14.0,21.0
 Subflow Bwd Bytes,250.0,0.0,11595.0,3954,-34785.0,46380.0
Init_Win_bytes_forward,251.0,0.0,274.0,82823,-822.0,1096.0
 Init_Win_bytes_backward,118.0,-1.0,235.0,24938,-709.0,943.0
 act_data_pkt_fwd,1.0,0.0,2.0,18677,-6.0,8.0
 min_seg_size_forward,32.0,20.0,32.0,0,-16.0,68.0
Active Mean,0.0,0.0,1008.0,84902,-3024.0,4032.0
 Active Std,0.0,0.0,0.0,22314,0.0,0.0
 Active Max,0.0,0.0,1008.0,84904,-3024.0,4032.0
 Active Min,0.0,0.0,1008.0,84480,-3024.0,4032.0
Idle Mean,0.0,0.0,84600000.0,0,-253800000.0,338400000.0
 Idle Std,0.0,0.0,0.0,25609,0.0,0.0
 Idle Max,0.0,0.0,84800000.0,0,-254400000.0,339200000.0
 Idle Min,0.0,0.0,84600000.0,0,-253800000.0,338400000.0
