L,scheme,dtype,interp,boundary_mode,oob_policy,value_repr,batch_size,threads_torch,threads_numba,float_total_bytes_mean,lut_total_bytes_mean,lut_q_table_bytes_mean,lut_scale_bytes_mean,lut_y_min_bytes_mean,lut_knots_bytes_mean,float_total_bytes_std,lut_total_bytes_std,lut_q_table_bytes_std,lut_scale_bytes_std,lut_y_min_bytes_std,lut_knots_bytes_std
2,asymmetric,uint8,linear,closed,clip_x,spline_component,1,1,1,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2,asymmetric,uint8,linear,closed,clip_x,spline_component,256,1,1,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2,asymmetric,uint8,linear,closed,zero_spline,spline_component,1,1,1,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2,asymmetric,uint8,linear,closed,zero_spline,spline_component,256,1,1,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2,asymmetric,uint8,linear,half_open,clip_x,spline_component,1,1,1,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2,asymmetric,uint8,linear,half_open,clip_x,spline_component,256,1,1,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2,asymmetric,uint8,linear,half_open,zero_spline,spline_component,1,1,1,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2,asymmetric,uint8,linear,half_open,zero_spline,spline_component,256,1,1,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2,symmetric,int8,linear,closed,clip_x,spline_component,1,1,1,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2,symmetric,int8,linear,closed,clip_x,spline_component,256,1,1,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2,symmetric,int8,linear,closed,zero_spline,spline_component,1,1,1,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2,symmetric,int8,linear,closed,zero_spline,spline_component,256,1,1,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2,symmetric,int8,linear,half_open,clip_x,spline_component,1,1,1,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2,symmetric,int8,linear,half_open,clip_x,spline_component,256,1,1,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2,symmetric,int8,linear,half_open,zero_spline,spline_component,1,1,1,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
2,symmetric,int8,linear,half_open,zero_spline,spline_component,256,1,1,200368.0,199728.0,66528.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
4,asymmetric,uint8,linear,closed,clip_x,spline_component,1,1,1,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
4,asymmetric,uint8,linear,closed,clip_x,spline_component,256,1,1,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
4,asymmetric,uint8,linear,closed,zero_spline,spline_component,1,1,1,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
4,asymmetric,uint8,linear,closed,zero_spline,spline_component,256,1,1,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
4,asymmetric,uint8,linear,half_open,clip_x,spline_component,1,1,1,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
4,asymmetric,uint8,linear,half_open,clip_x,spline_component,256,1,1,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
4,asymmetric,uint8,linear,half_open,zero_spline,spline_component,1,1,1,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
4,asymmetric,uint8,linear,half_open,zero_spline,spline_component,256,1,1,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
4,symmetric,int8,linear,closed,clip_x,spline_component,1,1,1,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
4,symmetric,int8,linear,closed,clip_x,spline_component,256,1,1,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
4,symmetric,int8,linear,closed,zero_spline,spline_component,1,1,1,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
4,symmetric,int8,linear,closed,zero_spline,spline_component,256,1,1,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
4,symmetric,int8,linear,half_open,clip_x,spline_component,1,1,1,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
4,symmetric,int8,linear,half_open,clip_x,spline_component,256,1,1,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
4,symmetric,int8,linear,half_open,zero_spline,spline_component,1,1,1,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
4,symmetric,int8,linear,half_open,zero_spline,spline_component,256,1,1,200368.0,266256.0,133056.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
8,asymmetric,uint8,linear,closed,clip_x,spline_component,1,1,1,200368.0,399312.0,266112.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
8,asymmetric,uint8,linear,closed,clip_x,spline_component,256,1,1,200368.0,399312.0,266112.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
8,asymmetric,uint8,linear,closed,zero_spline,spline_component,1,1,1,200368.0,399312.0,266112.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
8,asymmetric,uint8,linear,closed,zero_spline,spline_component,256,1,1,200368.0,399312.0,266112.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
8,asymmetric,uint8,linear,half_open,clip_x,spline_component,1,1,1,200368.0,399312.0,266112.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
8,asymmetric,uint8,linear,half_open,clip_x,spline_component,256,1,1,200368.0,399312.0,266112.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
8,asymmetric,uint8,linear,half_open,zero_spline,spline_component,1,1,1,200368.0,399312.0,266112.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
8,asymmetric,uint8,linear,half_open,zero_spline,spline_component,256,1,1,200368.0,399312.0,266112.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
8,symmetric,int8,linear,closed,clip_x,spline_component,1,1,1,200368.0,399312.0,266112.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
8,symmetric,int8,linear,closed,clip_x,spline_component,256,1,1,200368.0,399312.0,266112.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
8,symmetric,int8,linear,closed,zero_spline,spline_component,1,1,1,200368.0,399312.0,266112.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
8,symmetric,int8,linear,closed,zero_spline,spline_component,256,1,1,200368.0,399312.0,266112.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
8,symmetric,int8,linear,half_open,clip_x,spline_component,1,1,1,200368.0,399312.0,266112.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
8,symmetric,int8,linear,half_open,clip_x,spline_component,256,1,1,200368.0,399312.0,266112.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
8,symmetric,int8,linear,half_open,zero_spline,spline_component,1,1,1,200368.0,399312.0,266112.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
8,symmetric,int8,linear,half_open,zero_spline,spline_component,256,1,1,200368.0,399312.0,266112.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
16,asymmetric,uint8,linear,closed,clip_x,spline_component,1,1,1,200368.0,665424.0,532224.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
16,asymmetric,uint8,linear,closed,clip_x,spline_component,256,1,1,200368.0,665424.0,532224.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
16,asymmetric,uint8,linear,closed,zero_spline,spline_component,1,1,1,200368.0,665424.0,532224.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
16,asymmetric,uint8,linear,closed,zero_spline,spline_component,256,1,1,200368.0,665424.0,532224.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
16,asymmetric,uint8,linear,half_open,clip_x,spline_component,1,1,1,200368.0,665424.0,532224.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
16,asymmetric,uint8,linear,half_open,clip_x,spline_component,256,1,1,200368.0,665424.0,532224.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
16,asymmetric,uint8,linear,half_open,zero_spline,spline_component,1,1,1,200368.0,665424.0,532224.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
16,asymmetric,uint8,linear,half_open,zero_spline,spline_component,256,1,1,200368.0,665424.0,532224.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
16,symmetric,int8,linear,closed,clip_x,spline_component,1,1,1,200368.0,665424.0,532224.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
16,symmetric,int8,linear,closed,clip_x,spline_component,256,1,1,200368.0,665424.0,532224.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
16,symmetric,int8,linear,closed,zero_spline,spline_component,1,1,1,200368.0,665424.0,532224.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
16,symmetric,int8,linear,closed,zero_spline,spline_component,256,1,1,200368.0,665424.0,532224.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
16,symmetric,int8,linear,half_open,clip_x,spline_component,1,1,1,200368.0,665424.0,532224.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
16,symmetric,int8,linear,half_open,clip_x,spline_component,256,1,1,200368.0,665424.0,532224.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
16,symmetric,int8,linear,half_open,zero_spline,spline_component,1,1,1,200368.0,665424.0,532224.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
16,symmetric,int8,linear,half_open,zero_spline,spline_component,256,1,1,200368.0,665424.0,532224.0,66528.0,66528.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
