feature,median_train,q1_train,q3_train,iqr_train,lower_bound_train,upper_bound_train,train_missing_imputed,test_missing_imputed,train_values_clipped,test_values_clipped
 Destination Port,80.0,80.0,80.0,0.0,80.0,80.0,0,0,164327,41030
 Flow Duration,95375.0,205.0,85541046.25,85540841.25,-256622318.75,342163570.0,0,0,0,0
 Total Fwd Packets,3.0,2.0,7.0,5.0,-13.0,22.0,0,0,8034,1963
 Total Backward Packets,2.0,1.0,6.0,5.0,-14.0,21.0,0,0,7907,1895
Total Length of Fwd Packets,96.0,12.0,366.0,354.0,-1050.0,1428.0,0,0,16346,4158
 Total Length of Bwd Packets,250.0,0.0,11595.0,11595.0,-34785.0,46380.0,0,0,3198,756
 Fwd Packet Length Max,51.0,6.0,349.0,343.0,-1023.0,1378.0,0,0,6170,1568
 Fwd Packet Length Min,0.0,0.0,6.0,6.0,-18.0,24.0,0,0,84207,21205
 Fwd Packet Length Mean,42.0,6.0,58.33333333,52.33333333,-150.99999999,215.33333332,0,0,7600,1944
 Fwd Packet Length Std,3.286335345,0.0,135.5384324,135.5384324,-406.6152972,542.1537296,0,0,4981,1249
Bwd Packet Length Max,142.0,0.0,4344.0,4344.0,-13032.0,17376.0,0,0,0,0
 Bwd Packet Length Min,0.0,0.0,6.0,6.0,-18.0,24.0,0,0,85797,21557
 Bwd Packet Length Mean,127.0,0.0,1656.428571,1656.428571,-4969.285712999999,6625.714284,0,0,0,0
 Bwd Packet Length Std,0.0,0.0,1894.680443,1894.680443,-5684.041329,7578.721772,0,0,0,0
Flow Bytes/s,140.7715977,102.47270452500001,7901.6047472499995,7799.132042724999,-23294.923423649998,31299.000875424998,917,217,72739,18037
 Flow Packets/s,43.89719277,0.1566942595,17167.38197,17167.2252757405,-51501.519132962,68669.0577972215,917,217,51895,13053
 Flow IAT Mean,31180.5,83.0,6921572.229,6921489.229,-20764384.687,27686039.916,0,0,1041,244
 Flow IAT Std,26452.29792,0.0,24200000.0,24200000.0,-72600000.0,96800000.0,0,0,0,0
 Flow IAT Max,78554.5,179.0,84800000.0,84799821.0,-254399284.0,339199463.0,0,0,0,0
 Flow IAT Min,3.0,1.0,39.0,38.0,-113.0,153.0,0,0,50012,12459
